id_aviso,titulo,zona_barrio,tipo,precio,expensas,superficie_total,superficie_cubierta,ambientes,dormitorios,banios,antiguedad,cochera,balcon,amenities,latitud,longitud,fecha_publicacion
A-656140,Departamento en alquiler en Colegiales - 2 ambientes,Colegiales,Departamento,486.000,52513.0,31,31.0,2,,1.0,14,No,Sí,,-34.58830347783974,-58.460786298065294,17/07/2024
A-298155,Departamento en alquiler en Recoleta - 7 ambientes,Recoleta,Departamento,3.352.000,,168,168.0,7 amb.,6.0,5.0,21,No,No,,"-34,5743947588376",-58.38787731933263,05/10/2024
A-698120,PH en alquiler en Almagro - 3 ambientes,Almagro,PH,1.277.000,,66 m²,66.0,3,2.0,1.0,A estrenar,Sí,Sí,Pileta,-34.61077889222252,-58.420879457900035,31/01/2025
A-470911,Departamento en alquiler en Flores - 1 ambientes,Flores,Departamento,340.000,,35 m²,35.0,1 amb.,1.0,1.0,1,No,Sí,,-34.64000201061739,-58.45902918696838,09/03/2024
A-345613,Departamento en alquiler en Palermo - 2 ambientes,Palermo,Departamento,1.392.000,,43 m²,43.0,2,1.0,1.0,20,Sí,Sí,,-34.57325250232025,-58.42764491259859,03/04/2024
A-231543,Departamento en alquiler en Caballito - 1 ambientes,Caballito,Departamento,287.000,,22 m²,22.0,1 amb.,,1.0,2 años,No,Sí,Pileta,-34.64132493802636,-58.42810688548082,02/08/2025
A-357135,Departamento en alquiler en Belgrano - 2 ambientes,Belgrano,Departamento,572.000,93648.0,33,33.0,2,1.0,1.0,29,Sí,Sí,,-34.57093032914673,-58.45499169100773,28/04/2025
A-441533,Departamento en alquiler en Boedo - 2 ambientes,Boedo,Departamento,697.000,80614.0,50,50.0,2,1.0,1.0,9,Sí,Sí,,"-34,64010721214913",-58.402717248329935,07/03/2024
A-856582,PH en alquiler en Flores - 4 ambientes,Flores,PH,809.000,,87,,4,3.0,2.0,37,No,Sí,,-34.64348308529085,"-58,476575185658604",25/01/2025
A-418170,Departamento en alquiler en Villa Crespo - 2 ambientes,Villa Crespo,Departamento,$ 687.000,112621.0,48 m²,48.0,2,1.0,1.0,,Sí,Sí,,-34.5614107836617,-58.415722692212995,10/12/2024
A-619650,Departamento en alquiler en San Telmo - 7 ambientes,San Telmo,Departamento,$ 100,432993.0,130 m²,130.0,7,6.0,4.0,20,No,Sí,,-34.6297854040667,-58.33827258490904,22/07/2025
A-525581,Departamento en alquiler en Palermo - 1 ambientes,palermo,Departamento,382.000,58092.0,21 m²,21.0,1 amb.,1.0,1.0,2,Sí,Sí,,"-34,5840325926943",-58.423668928923476,08/08/2024
A-213683,Departamento en alquiler en San Telmo - 2 ambientes,san telmo,Departamento,359.000,,34 m²,34.0,2 amb.,1.0,,44,No,Sí,,-34.619402903670945,-58.37273860503607,22/01/2024
A-839297,PH en alquiler en Recoleta - 4 ambientes,Recoleta,PH,2.224.000,,103 m²,103.0,4,3.0,2.0,0,Sí,No,,-34.608976414445635,-58.40839851172017,07/08/2025
A-419258,Departamento en alquiler en Boedo - 4 ambientes,Boedo,Departamento,741.000,,79 m²,79.0,4,3.0,2.0,46,No,No,,-34.61698928227457,-58.42909315550274,14/12/2024
A-207964,Departamento en alquiler en Flores - 3 ambientes,Flores,Departamento,560.000,38401.0,54 m²,,3 amb.,2.0,1.0,,No,Sí,,-34.65000009397408,-58.46433700638711,01/06/2024
A-879292,Departamento en alquiler en Palermo - 3 ambientes,Palermo,Departamento,USD 1.203,176007.0,59 m²,59.0,3 amb.,,1.0,15,No,Sí,,"-34,57335255586418",-58.42574506437857,03/02/2024
A-639954,Departamento en alquiler en Recoleta - 1 ambientes,Recoleta,Departamento,794.000,,31,31.0,1 amb.,1.0,1.0,13,No,Sí,,-34.573643881608994,-58.412341919068346,11/08/2025
A-729648,Casa en alquiler en Villa Crespo - 3 ambientes,Villa Crespo,Casa,$ 1.537.000,,72,,3 amb.,2.0,2.0,1,Sí,No,,-34.59845244804014,-58.440037839666125,13/02/2025
A-285297,Departamento en alquiler en Colegiales - 5 ambientes,Colegiales,Departamento,1.512.000,84248.0,90 m²,90.0,5,4.0,3.0,22,Sí,Sí,,-34.59671565292306,-58.45217708633342,24/02/2024
A-567424,Departamento en alquiler en Belgrano - 1 ambientes,BELGRANO,Departamento,USD 322,,23,23.0,1 amb.,1.0,1.0,10,Sí,Sí,,-34.56610426742466,-58.46689863124754,04/07/2025
A-674016,PH en alquiler en Caballito - 4 ambientes,caballito,PH,2.373.000,,100 m²,100.0,4 amb.,3.0,2.0,4,Sí,No,,-34.611454234060005,-58.440594055752776,15/01/2025
A-758331,Departamento en alquiler en Boedo - 2 ambientes,Boedo,Departamento,686.000,114569.0,50 m²,,2,1.0,1.0,0,No,Sí,,"-34,61392250434896",-58.40956429369363,15/08/2024
A-731803,Departamento en alquiler en Recoleta - 2 ambientes,Recoleta,Departamento,806.000,82619.0,43 m²,43.0,2 amb.,1.0,1.0,0,No,Sí,,-34.58734307254554,-58.40222392976261,14/08/2024
A-827067,Departamento en alquiler en Almagro - 4 ambientes,Almagro,Departamento,1.320.000,166876.0,98,98.0,4,3.0,2.0,15,No,No,,-34.60348351346993,-58.39992150987233,23/03/2024
A-768882,PH en alquiler en Palermo - 2 ambientes,palermo,PH,917.000,,43 m²,43.0,2 amb.,1.0,1.0,37,Sí,No,,-34.59744990385643,-58.4126094455479,03/03/2025
A-745543,Departamento en alquiler en Nuñez - 2 ambientes,Nuñez,Departamento,Consultar,92972.0,39,39.0,2,1.0,1.0,0,Sí,Sí,,-34.547343534957555,-58.46659272611999,02/08/2025
A-744965,Departamento en alquiler en Villa Crespo - 2 ambientes, Villa Crespo ,Departamento,732.000,85110.0,57,57.0,2 amb.,1.0,1.0,39,No,No,,-34.60488991775897,-58.41959798990824,05/01/2025
A-256884,Casa en alquiler en Recoleta - 3 ambientes,Recoleta,Casa,1.577.000,,60 m²,60.0,3 amb.,2.0,2.0,5 años,No,No,,-34.589877556116065,"-58,41753438727648",20/06/2024
A-629522,Departamento en alquiler en Almagro - 2 ambientes,Almagro,Departamento,425.000,,41,,2 amb.,1.0,1.0,3,No,No,,-34.61532091607862,-58.390882435904714,05/11/2024
A-424578,Departamento en alquiler en Nuñez - 1 ambientes,Nuñez,Departamento,342.000,20112.0,20,20.0,1,1.0,1.0,2,No,No,,-34.53027596911647,-58.45590209671396,13/10/2024
A-201426,Departamento en alquiler en Villa Urquiza - 2 ambientes,Villa Urquiza,Departamento,$ 100,59155.0,51,51.0,2,,1.0,49,No,Sí,,"-34,596869286851074",-58.472710198474424,17/05/2025
A-345166,Departamento en alquiler en Almagro - 1 ambientes,Almagro,Departamento,450.000,2656900.0,29 m²,29.0,1,1.0,1.0,9,Sí,Sí,,-34.59313161185628,-58.421721040282826,05/12/2024
A-194970,Departamento en alquiler en Belgrano - 3 ambientes,Belgrano,Departamento,901.000,,50,50.0,3,,1.0,0,Sí,Sí,,-34.556889426441245,-58.46756239813203,04/06/2025
A-776252,PH en alquiler en Colegiales - 2 ambientes,Colegiales,PH,1.172.000,,45 m²,45.0,2 amb.,1.0,1.0,0,No,No,Pileta,"-34,56851389362611",-58.44242037748216,01/01/2025
A-346556,Departamento en alquiler en Recoleta - 2 ambientes,Recoleta,Departamento,730.000,62872.0,59 m²,59.0,2,1.0,,8,No,No,,-34.57453766194247,"-58,39724014754776",02/11/2024
A-877705,PH en alquiler en Villa Urquiza - 3 ambientes,Villa Urquiza,PH,$ 2.480.000,,97 m²,97.0,3 amb.,2.0,1.0,9,Sí,No,Pileta,-34.572593416467235,-58.4896247408026,16/11/2024
A-144465,Departamento en alquiler en Flores - 5 ambientes,Flores,Departamento,1.307.000,219836.0,90 m²,90.0,5,4.0,3.0,,No,Sí,,-34.61859092441105,-58.45862187207383,14/02/2025
A-455190,Casa en alquiler en Boedo - 3 ambientes,Boedo,Casa,USD 831,,63,63.0,3,,1.0,,Sí,No,Pileta,-34.62783626742153,-58.41360900315401,21/04/2025
A-726773,Casa en alquiler en Palermo - 3 ambientes,Palermo,Casa,USD 2.375,,90 m²,90.0,3,2.0,1.0,8,Sí,No,,-34.58794491442064,-58.42699952529665,10/12/2024
A-626035,Departamento en alquiler en Colegiales - 3 ambientes,Colegiales,Departamento,$ 784.000,69343.0,56,56.0,3,2.0,1.0,21,No,Sí,,-34.57370448813732,-58.464134036260916,15/06/2024
A-836094,Departamento en alquiler en Villa Urquiza - 2 ambientes,Villa Urquiza,Departamento,666.000,,51,51.0,2,1.0,1.0,34,Sí,Sí,Pileta,-34.57705972660905,"-58,46895208413701",13/02/2024
A-809070,Departamento en alquiler en Caballito - 3 ambientes,Caballito,Departamento,834.000,,57,57.0,3 amb.,2.0,1.0,4,Sí,Sí,,-34.59664704209171,-58.44870116065169,18/04/2024
A-134419,Departamento en alquiler en Villa Crespo - 2 ambientes,Villa Crespo,Departamento,USD 574,40304.0,38,38.0,2,1.0,1.0,2,No,Sí,,-34.5953638044903,-58.42988141487517,21/07/2025
A-844966,Departamento en alquiler en Colegiales - 2 ambientes,Colegiales,Departamento,359.000,,27 m²,27.0,2 amb.,1.0,1.0,16 años,Sí,Sí,,-34.57972813830133,-58.4571594843278,04/06/2025
A-457400,Departamento en alquiler en Recoleta - 3 ambientes,Recoleta,Departamento,1.812.000,176319.0,77,77.0,3 amb.,2.0,2.0,0,No,No,,-34.58362004247093,-58.40684307426005,20/04/2024
A-151331,Departamento en alquiler en Colegiales - 1 ambientes, Colegiales ,Departamento,611.000,,37 m²,37.0,1,1.0,1.0,37,No,Sí,,-34.56656285878113,-58.46213980954331,24/07/2025
A-623829,Departamento en alquiler en Caballito - 5 ambientes,Caballito,Departamento,1.798.000,289728.0,98,98.0,5,4.0,3.0,3,No,No,,-34.627288139660415,-58.42910869492431,17/02/2025
A-238100,Departamento en alquiler en Boedo - 3 ambientes,Boedo,Departamento,USD 746,65707.0,56,56.0,3,2.0,2.0,12,Sí,Sí,,-34.608492224760475,-58.41164652993534,11/02/2024
A-750429,Departamento en alquiler en Boedo - 4 ambientes,Boedo,Departamento,$ 1.367.000,205809.0,83,83.0,4 amb.,3.0,2.0,A estrenar,No,Sí,,-34.61119802374956,"-58,4262406222643",10/04/2025
A-399568,Departamento en alquiler en Villa Crespo - 3 ambientes,Villa Crespo,Departamento,516.000,29246.0,32 m²,32.0,3,2.0,2.0,,Sí,No,,-34.59767078845286,-58.44263889851595,15/01/2024
A-505742,PH en alquiler en Colegiales - 4 ambientes,Colegiales,PH,$ 100,,91,91.0,4 amb.,3.0,2.0,4,No,Sí,,-34.578917813663885,-58.439307987570444,13/02/2025
A-265047,Departamento en alquiler en San Telmo - 1 ambientes,San Telmo,Departamento,391.000,25233.0,40,40.0,1,1.0,1.0,27,No,Sí,,-34.616114915399216,-58.34856328365352,29/03/2024
A-135490,Departamento en alquiler en Recoleta - 3 ambientes,RECOLETA,Departamento,$ 731.000,128576.0,70 m²,70.0,3 amb.,2.0,2.0,9,No,Sí,,-34.60791852784608,-58.385986912515186,03/02/2025
A-477466,Departamento en alquiler en San Telmo - 4 ambientes,San Telmo,Departamento,1.041.000,,66 m²,66.0,4,3.0,,A estrenar,Sí,No,,-34.63567092843571,"-58,36835692147408",23/08/2024
A-706760,Departamento en alquiler en Recoleta - 5 ambientes,Recoleta,Departamento,Consultar,,93 m²,93.0,5,4.0,3.0,,No,Sí,,-34.56958621477847,-58.38153150937556,01/02/2024
A-766029,Departamento en alquiler en San Telmo - 5 ambientes,San Telmo,Departamento,1.127.000,133789.0,93,93.0,5,,3.0,44,Sí,Sí,,-34.62017889626551,-58.38335277414551,27/06/2025
A-784870,Departamento en alquiler en Recoleta - 1 ambientes,RECOLETA,Departamento,$ 485.000,,43 m²,43.0,1,1.0,1.0,49,No,Sí,,-34.59137350581866,-58.38804783888292,15/06/2024
A-628413,Departamento en alquiler en Almagro - 3 ambientes,Almagro,Departamento,860.000,47754.0,56 m²,56.0,3,2.0,1.0,7,Sí,Sí,,-34.62066911150624,-58.42664923520452,29/06/2025
A-234491,Departamento en alquiler en Flores - 3 ambientes,Flores,Departamento,750.000,103737.0,59,59.0,3,2.0,2.0,20 años,No,Sí,,-34.62176642671264,-58.45868575807393,12/09/2024
A-515980,Departamento en alquiler en Villa Urquiza - 1 ambientes,Villa Urquiza,Departamento,479.000,29675.0,45 m²,45.0,1,1.0,1.0,22,No,Sí,,"-34,55567335568817",-58.50440240381202,27/05/2025
A-508971,PH en alquiler en Boedo - 3 ambientes,Boedo,PH,672.000,,53 m²,53.0,3,,1.0,,No,No,,-34.64498320630309,-58.41137759149107,07/05/2025
A-944386,Departamento en alquiler en Villa Crespo - 1 ambientes,Villa Crespo,Departamento,675.000,53579.0,42,42.0,1 amb.,1.0,1.0,7,No,No,,-34.60190669718433,-58.429551815168004,04/10/2024
A-338112,PH en alquiler en Colegiales - 2 ambientes,Colegiales,PH,693.000,,37 m²,37.0,2,1.0,,5,Sí,No,,-34.55304673615859,-58.44635629839513,26/01/2024
A-669101,Departamento en alquiler en Almagro - 5 ambientes,Almagro,Departamento,$ 1,221607.0,92,,5 amb.,4.0,3.0,6,No,Sí,,-34.60995902298586,-58.41018696764949,24/02/2024
A-578511,Departamento en alquiler en Almagro - 1 ambientes,Almagro,Departamento,251.000,32252.0,32,32.0,1 amb.,1.0,1.0,45,No,Sí,,-34.61390195278906,-58.431245404542864,20/06/2024
A-223374,Departamento en alquiler en Villa Crespo - 6 ambientes,Villa Crespo,Departamento,2.092.000,149784.0,132 m²,132.0,6,5.0,3.0,0,Sí,No,,-34.59910368847655,-58.4303498443128,23/05/2025
A-804863,Departamento en alquiler en Villa Crespo - 2 ambientes,Villa Crespo,Departamento,868.000,140920.0,59 m²,,2 amb.,1.0,1.0,1,No,Sí,,-34.601891526994265,"-58,42338487429631",05/07/2025
A-928517,Casa en alquiler en Almagro - 5 ambientes,Almagro,Casa,2.091.000,,157,157.0,5,4.0,3.0,8,No,Sí,Pileta,-34.62593977941758,-58.41907031537516,03/01/2025
A-134038,Departamento en alquiler en San Telmo - 2 ambientes,San Telmo,Departamento,871.000,84294.0,55 m²,55.0,2 amb.,1.0,1.0,22,Sí,Sí,,-34.62871780492147,-58.36886177683929,10/10/2024
A-261501,Departamento en alquiler en San Telmo - 2 ambientes, San Telmo ,Departamento,525.000,78294.0,45 m²,45.0,2,1.0,1.0,5,No,No,,-34.60653321370763,-58.3774452930456,20/01/2024
A-861907,Departamento en alquiler en Belgrano - 2 ambientes,Belgrano,Departamento,922.000,157988.0,34,34.0,2,1.0,1.0,2,Sí,Sí,,-34.5690028571016,-58.43434848997991,09/09/2024
A-620664,Departamento en alquiler en Palermo - 3 ambientes,Palermo,Departamento,813.000,60908.0,50,50.0,3 amb.,2.0,,56,Sí,No,,-34.58867503049248,-58.42286980055707,12/11/2024
A-674332,Departamento en alquiler en Villa Crespo - 3 ambientes,Villa Crespo,Departamento,USD 898,,62 m²,62.0,3,,2.0,3,No,No,,-34.588344549057524,-58.445570251462,19/02/2025
A-422770,Departamento en alquiler en Flores - 2 ambientes,Flores,Departamento,300.000,30317.0,29 m²,29.0,2 amb.,1.0,,17,Sí,No,,-34.61929057364823,-58.46383274279345,03/01/2024
A-838234,Departamento en alquiler en Villa Urquiza - 2 ambientes,Villa Urquiza,Departamento,$ 1,57797.0,45 m²,45.0,2,1.0,1.0,23,No,Sí,,-34.58284435233383,-58.47431930106464,28/01/2024
A-513562,PH en alquiler en Palermo - 5 ambientes,Palermo,PH,2.039.000,,141 m²,141.0,5,4.0,3.0,35,Sí,No,Pileta,-34.58637040311121,-58.43031691923543,04/08/2025
A-481719,Departamento en alquiler en Colegiales - 4 ambientes,Colegiales,Departamento,1.252.000,181180.0,72,,4,3.0,2.0,6,No,Sí,,-34.566905618120366,-58.44858766491379,08/04/2024
A-714715,Departamento en alquiler en Caballito - 2 ambientes,Caballito,Departamento,620.000,109389.0,47 m²,47.0,2,,1.0,15,No,Sí,,-34.64562017312061,-58.42356358670815,20/06/2025
A-970939,PH en alquiler en Almagro - 4 ambientes,Almagro,PH,2.180.000,,108 m²,108.0,4 amb.,3.0,3.0,3,No,Sí,,-34.60831439629118,-58.43349426015537,21/06/2024
A-947747,Casa en alquiler en Flores - 3 ambientes,Flores,Casa,816.000,,60 m²,60.0,3,2.0,2.0,10,Sí,No,,-34.635527819845436,-58.45085768280497,28/09/2024
A-435246,Departamento en alquiler en Colegiales - 2 ambientes,Colegiales,Departamento,727.000,9947600.0,47 m²,47.0,2,1.0,1.0,21,No,Sí,,-34.5815726886319,-58.441789037262105,06/10/2024
A-562344,Departamento en alquiler en Caballito - 2 ambientes,Caballito,Departamento,762.000,118237.0,41,,2 amb.,1.0,1.0,3,Sí,Sí,,-34.602209264599146,"-58,42153029185027",30/06/2025
A-876295,Departamento en alquiler en Boedo - 1 ambientes,Boedo,Departamento,811.000,5757200.0,38 m²,,1,1.0,1.0,8 años,No,Sí,,-34.64429854002231,-58.43076320909762,26/12/2024
A-148118,Departamento en alquiler en Boedo - 3 ambientes,Boedo,Departamento,USD 464,51795.0,53,53.0,3 amb.,2.0,1.0,6,Sí,No,,-34.62562139206735,-58.41009688602124,08/02/2025
A-359669,Departamento en alquiler en San Telmo - 4 ambientes,San Telmo,Departamento,$ 1,116667.0,70 m²,70.0,4,3.0,2.0,11,Sí,Sí,,-34.617322786587536,-58.37929596047782,24/02/2024
A-612998,Departamento en alquiler en Caballito - 2 ambientes,Caballito,Departamento,887.000,,61 m²,61.0,2,1.0,1.0,31 años,No,Sí,,-34.59481899960513,-58.443290224004976,17/04/2025
A-325404,Departamento en alquiler en Flores - 5 ambientes,Flores,Departamento,1.628.000,183230.0,107 m²,107.0,5 amb.,4.0,3.0,8,No,Sí,,-34.62551446360817,-58.46729592157148,18/12/2024
A-593219,Departamento en alquiler en Belgrano - 1 ambientes, Belgrano ,Departamento,1.121.000,,43,43.0,1,1.0,1.0,0,No,Sí,,-34.57466918412719,-58.43235082878105,02/05/2024
A-615882,PH en alquiler en Belgrano - 3 ambientes,Belgrano,PH,1.383.000,,88 m²,88.0,3,2.0,2.0,13,No,No,Pileta,-34.56846186552538,-58.45972299066396,11/09/2024
A-895339,Departamento en alquiler en San Telmo - 2 ambientes,SAN TELMO,Departamento,$ 621.042.709,59016.0,36 m²,36.0,2 amb.,1.0,1.0,2,Sí,Sí,,"-34,625113478812274",-58.376850287363354,31/01/2024
A-656697,Departamento en alquiler en Belgrano - 1 ambientes,Belgrano,Departamento,513.000,33329.0,33 m²,33.0,1,1.0,1.0,24,Sí,Sí,,-34.564496899414216,-58.4419670404113,02/12/2024
A-110371,Departamento en alquiler en Almagro - 2 ambientes,Almagro,Departamento,620.000,64500.0,33 m²,33.0,2 amb.,1.0,1.0,3,Sí,No,,-34.61474258002141,"-58,42717030841961",25/03/2024
A-677582,Departamento en alquiler en Almagro - 2 ambientes,Almagro,Departamento,404.000,,30 m²,30.0,2,1.0,1.0,6,No,Sí,Pileta,-34.616491796423325,-58.418764766790694,22/03/2025
A-266674,Departamento en alquiler en Almagro - 2 ambientes, Almagro ,Departamento,USD 704,,40,40.0,2 amb.,1.0,1.0,6,No,Sí,,"-34,603262328442085",-58.413245746234516,19/07/2024
A-103373,Departamento en alquiler en Caballito - 3 ambientes,caballito,Departamento,747.000,117551.0,56,56.0,3 amb.,2.0,1.0,32,No,No,,-34.61855791864227,-58.44899129693788,02/03/2024
A-474637,Departamento en alquiler en Caballito - 2 ambientes,Caballito,Departamento,913.000,,68 m²,68.0,2 amb.,1.0,1.0,28 años,No,Sí,,-34.612704983803425,-58.444032800358066,28/01/2025
A-158631,PH en alquiler en Belgrano - 2 ambientes,Belgrano,PH,$ 1.291.000,,71,71.0,2 amb.,1.0,1.0,0,No,Sí,Pileta,"-34,55810964733068",-58.459107468466996,28/07/2024
A-210077,Departamento en alquiler en Palermo - 2 ambientes,Palermo,Departamento,730.000,125441.0,61,61.0,2 amb.,1.0,1.0,73,No,No,,-34.59643865411184,-58.41396492307806,14/05/2024
A-653508,Departamento en alquiler en Flores - 3 ambientes,Flores,Departamento,753.000,,66 m²,66.0,3 amb.,2.0,1.0,21,Sí,Sí,,-34.631419634105455,-58.4586966673943,02/12/2024
A-637393,Departamento en alquiler en San Telmo - 1 ambientes,San Telmo,Departamento,311.000,,25 m²,25.0,1 amb.,1.0,1.0,42,No,Sí,,-34.628341115674054,-58.35836862584868,24/10/2024
A-469409,Departamento en alquiler en Almagro - 2 ambientes,Almagro,Departamento,USD 327,46975.0,37,37.0,2 amb.,1.0,1.0,6,No,No,,-34.60539989432354,-58.39955231473922,05/06/2024
A-288659,Departamento en alquiler en Villa Crespo - 1 ambientes,Villa Crespo,Departamento,360.000,39812.0,21 m²,21.0,1,1.0,1.0,1,No,No,,-34.5922305968832,-58.43378595828686,26/04/2025
A-425624,PH en alquiler en Colegiales - 3 ambientes,Colegiales,PH,$ 1.031.000,,82 m²,82.0,3 amb.,2.0,1.0,24,No,Sí,,-34.58523657207341,-58.461064830136074,31/07/2025
A-276953,Departamento en alquiler en Palermo - 2 ambientes,Palermo,Departamento,954.000,117821.0,45,45.0,2 amb.,1.0,1.0,1,Sí,Sí,,-34.58391841140514,"-58,426076613945504",17/05/2025
A-311768,Departamento en alquiler en Nuñez - 4 ambientes,Nuñez,Departamento,$ 999999999,,71 m²,71.0,4,3.0,2.0,7,No,No,,-34.55857862000097,-58.48063587575658,27/12/2024
A-795795,Departamento en alquiler en Belgrano - 3 ambientes,Belgrano,Departamento,$ 100,287279.0,78,78.0,3 amb.,2.0,2.0,24,Sí,Sí,,-34.551556149869604,-58.433702085621256,30/12/2024
A-407970,Departamento en alquiler en Caballito - 2 ambientes,Caballito,Departamento,592.000,75500.0,46,46.0,2,1.0,1.0,10 años,No,No,,-34.61899328009192,-58.43008256266969,20/08/2025
A-813000,Departamento en alquiler en Recoleta - 3 ambientes,Recoleta,Departamento,548.000,32379.0,47 m²,47.0,3 amb.,,1.0,30,No,Sí,,-34.59004640390173,"-58,38594081120229",12/01/2025
A-269621,Departamento en alquiler en Belgrano - 3 ambientes,belgrano,Departamento,1.128.000,172082.0,49 m²,49.0,3 amb.,2.0,1.0,A estrenar,No,No,,-34.55475600445214,-58.45708774438481,10/08/2024
A-767189,Departamento en alquiler en Caballito - 3 ambientes,Caballito,Departamento,790.000,140156.0,58 m²,58.0,3 amb.,2.0,2.0,8,No,Sí,,-34.63292024458332,-58.420124129906355,16/06/2025
A-943458,Departamento en alquiler en Almagro - 1 ambientes,almagro,Departamento,USD 235,,24,24.0,1,,1.0,18,No,Sí,,-34.59943122916266,-58.43115015778412,18/02/2025
A-303554,Departamento en alquiler en Colegiales - 2 ambientes,Colegiales,Departamento,591.000,,32 m²,32.0,2,1.0,1.0,52,No,Sí,,-34.56344844169185,-58.44442531718216,16/07/2025
A-369739,Departamento en alquiler en Palermo - 3 ambientes,Palermo,Departamento,694.000,,46 m²,46.0,3,2.0,2.0,50,Sí,No,,-34.55728570198476,-58.41489243207583,14/11/2024
A-682504,Departamento en alquiler en Recoleta - 2 ambientes,Recoleta,Departamento,1.368.000,126269.0,56 m²,56.0,2,1.0,1.0,15,Sí,No,,-34.572779325731155,"-58,389906165071324",04/05/2024
A-776962,Casa en alquiler en Nuñez - 3 ambientes,Nuñez,Casa,1.035.000,,60,60.0,3,2.0,2.0,17,Sí,No,,-34.53866472624354,-58.47727310773647,03/10/2024
A-646126,Casa en alquiler en Recoleta - 3 ambientes,Recoleta,Casa,USD 1.203,,60 m²,60.0,3,2.0,1.0,16,No,No,,-34.59890552160635,-58.39085613291036,29/11/2024
A-504092,Departamento en alquiler en San Telmo - 2 ambientes,san telmo,Departamento,925.000,72672.0,41 m²,41.0,2,1.0,1.0,22,Sí,No,,-34.62596627424232,-58.3761923915186,09/02/2025
A-273653,Departamento en alquiler en Flores - 3 ambientes,Flores,Departamento,400.000,27887.0,41 m²,41.0,3,2.0,,25,No,Sí,,-34.6292510517838,-58.4485460305359,03/06/2024
A-361682,Departamento en alquiler en Recoleta - 2 ambientes,Recoleta,Departamento,USD 664,62872.0,59,,2,1.0,1.0,8,No,No,,-34.57453766194247,-58.39724014754776,13/04/2024
A-973417,PH en alquiler en Flores - 5 ambientes,Flores,PH,1.669.000,,123,123.0,5 amb.,4.0,3.0,20,Sí,Sí,Pileta,-34.61266273381141,-58.48612518047524,18/02/2024
A-181181,Departamento en alquiler en Colegiales - 2 ambientes, Colegiales ,Departamento,$ 894.000,,66 m²,66.0,2 amb.,1.0,1.0,13,No,Sí,,-34.57947289127254,-58.43707405028271,29/10/2024
A-746364,Departamento en alquiler en Almagro - 2 ambientes,Almagro,Departamento,393.000,61496.0,29 m²,29.0,2,,1.0,1,No,No,,"-34,61431971408297",-58.41505462839123,07/01/2024
A-724257,Departamento en alquiler en Palermo - 3 ambientes,Palermo,Departamento,Consultar,18863800.0,70,70.0,3,2.0,1.0,18 años,Sí,No,,"-34,576278321980936","-58,44387329495628",22/04/2024
A-938703,Departamento en alquiler en Caballito - 2 ambientes,Caballito,Departamento,586.000,,60,60.0,2 amb.,1.0,1.0,,No,Sí,,-34.63779518440515,-58.433855102170064,13/12/2024
A-156768,Departamento en alquiler en San Telmo - 2 ambientes,San Telmo,Departamento,Consultar,73218.0,40 m²,,2,,1.0,3,Sí,Sí,,-34.61833600486445,-58.37721026146858,23/03/2025
A-647933,Departamento en alquiler en Flores - 2 ambientes,Flores,Departamento,$ 591.000,61730.0,46 m²,46.0,2 amb.,1.0,1.0,7,No,Sí,,-34.63236809207939,-58.44516588834607,23/08/2024
A-185879,PH en alquiler en Belgrano - 5 ambientes,Belgrano,PH,3.023.000,,146 m²,146.0,5,4.0,3.0,67,Sí,Sí,Pileta,-34.57154367110734,-58.46004529023698,02/02/2024
A-215730,Departamento en alquiler en Almagro - 2 ambientes, Almagro ,Departamento,$ 1,,36,36.0,2,1.0,1.0,5,No,Sí,,-34.60034640691176,-58.398064261010134,08/11/2024
A-335164,Departamento en alquiler en Boedo - 1 ambientes,Boedo,Departamento,$ 999999999,35956.0,24 m²,24.0,1 amb.,1.0,1.0,3,No,Sí,,-34.62072289033402,-58.42202614885149,03/01/2024
A-778176,Casa en alquiler en Villa Crespo - 3 ambientes, Villa Crespo ,Casa,1.270.000,,72 m²,72.0,3,2.0,,22,Sí,No,Pileta,-34.62092523634931,"-58,43375424554212",15/12/2024
A-959576,Departamento en alquiler en Colegiales - 4 ambientes,Colegiales,Departamento,1.450.000,240151.0,99 m²,,4,3.0,3.0,6,No,No,,-34.584025927436535,-58.466093789528195,07/02/2024
A-159984,PH en alquiler en Belgrano - 2 ambientes,Belgrano,PH,$ 1.157.000,,65,65.0,2 amb.,1.0,1.0,5,No,No,,"-34,56300432870429",-58.456090656406076,16/03/2024
A-414549,Departamento en alquiler en Colegiales - 2 ambientes,COLEGIALES,Departamento,586.000,44871.0,39,39.0,2 amb.,1.0,1.0,2,No,Sí,,-34.57651642527554,-58.42873076148045,29/12/2024
A-500763,Departamento en alquiler en Belgrano - 2 ambientes,belgrano,Departamento,529.000,,31 m²,31.0,2 amb.,,1.0,20,No,No,,-34.56145368256522,-58.46349200873794,24/11/2024
A-970522,Departamento en alquiler en Palermo - 1 ambientes,Palermo,Departamento,267.000,22472.0,25,25.0,1,,1.0,43,No,No,,-34.57607848541513,-58.438582636542385,13/08/2024
A-151336,Departamento en alquiler en Boedo - 3 ambientes,BOEDO,Departamento,$ 999999999,,79,,3,2.0,1.0,,Sí,Sí,,-34.6166340111745,-58.409120873044735,24/06/2025
A-619846,Departamento en alquiler en Palermo - 3 ambientes,Palermo,Departamento,USD 1.235,201973.0,56,56.0,3,2.0,2.0,12,No,No,,-34.569692252459596,-58.409866724652666,13/03/2025
